artists,valence,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,popularity
Robert Nail,0.818,0.597,0.442,161829.0,0.715,0.00111,0.18,-5.596,0.032,86.611,0.0
Sputniks,0.234,0.000113,0.209,108366.0,0.958,0.946,0.0823,-12.704,0.0707,182.749,0.0
Radharani,0.39990000000000003,0.9884000000000001,0.5021,196188.3,0.1863,0.273762541,0.20249999999999999,-12.0488,0.12210000000000001,95.3884,0.0
Radhika Prasad Goswami,0.196,0.995,0.373,172947.0,0.271,0.629,0.207,-14.918,0.0665,78.398,0.0
Blue Rhythm Boys,0.931,0.956,0.81,177639.0,0.476,0.846,0.244,-8.256,0.128,107.879,0.0
Raffaello Bellavista,0.0892,0.983,0.341,898965.0,0.213,0.911,0.148,-15.634,0.0383,132.987,0.0
Spirrin,0.339,0.0573,0.58,210068.0,0.915,0.0491,0.125,-6.1370000000000005,0.355,128.009,0.0
Hikmet Rıza Hanım,0.414,0.995,0.394,159355.5,0.21799999999999997,0.8580000000000001,0.10994999999999999,-11.4815,0.0489,74.20400000000001,0.0
Rafiq Ahmed,0.682,0.992,0.518,173308.0,0.224,0.0453,0.141,-9.662,0.161,76.8,0.0
Trio Vampari,0.662,0.994,0.346,203600.0,0.439,2.03e-05,0.132,-12.337,0.0388,114.846,0.0
Blue-Room,0.47433333333333333,0.0007587333333333333,0.786,444132.0,0.9756666666666667,0.9403333333333332,0.0515,-7.435666666666666,0.056100000000000004,125.68166666666666,0.0
Trio Surdina,0.6736666666666666,0.9090000000000001,0.684,142785.33333333334,0.22566666666666668,0.14000060333333333,0.16356666666666667,-16.233999999999998,0.0657,109.707,0.0
Trio Nocturnal,0.912,0.6990000000000001,0.727,163944.0,0.495,3.83e-05,0.119,-6.715,0.0332,122.319,0.0
Bluegrass Champs,0.8470000000000001,0.692,0.5719285714285715,143393.7142857143,0.3857142857142857,0.1979502142857143,0.271,-17.049071428571427,0.061464285714285714,117.17742857142856,0.0
Rafiq Sagar,0.888,0.975,0.529,246160.0,0.334,0.8370000000000001,0.52,-19.246,0.0529,80.536,0.0
Rafique Gaznavi,0.831,0.996,0.6970000000000001,152405.0,0.364,0.878,0.366,-11.71,0.22,71.887,0.0
Blueshakers,0.669,0.737,0.6970000000000001,294427.0,0.396,0.982,0.122,-13.865,0.0343,122.717,0.0
Rafique Ghaznavi,0.343,0.991,0.235,205947.0,0.4270000000000001,0.884,0.773,-12.651,0.0429,85.734,0.0
Rada & Blackthorns,0.0974,0.0889,0.5670000000000001,424987.0,0.422,0.82,0.119,-11.782,0.0487,116.956,0.0
Hesen Zîrek,0.7501388888888889,0.9332777777777778,0.42516666666666664,350247.77777777775,0.6918888888888889,0.5110035169444445,0.6286444444444445,-7.112611111111112,0.08630555555555557,121.1433888888889,0.0
The Collince,0.962,0.00836,0.765,425053.0,0.487,0.512,0.0674,-6.1110000000000015,0.104,59.999,0.0
Heros Black,0.136,0.0397,0.8009999999999999,416724.0,0.6609999999999999,0.778,0.0631,-8.835,0.0503,128.005,0.0
Trío Los Chamas,0.751875,0.8138125,0.67175,201557.5625,0.61375,4.727937499999375e-05,0.38224375,-10.1830625,0.11675624999999999,128.3868125,0.0
Louis Boucot,0.959,0.951,0.823,169267.0,0.329,0.0,0.0646,-12.853,0.143,119.061,0.0
St. Pagioumtzis,0.718,0.995,0.5429999999999999,193680.0,0.564,0.835,0.182,-9.329,0.0309,102.787,0.0
Henry Hagemann & his Full Brass,0.741,0.966,0.629,170377.0,0.356,0.936,0.831,-14.07,0.283,201.567,0.0
Henry Laverne,0.6940000000000001,0.971,0.544,203733.0,0.17,2.94e-05,0.7140000000000001,-14.177,0.0459,112.591,0.0
Srikrishna,0.513,0.929,0.631,181440.0,0.168,4.52e-06,0.12,-13.792,0.0378,102.016,0.0
Troy Dark,0.318,0.00467,0.83,420099.0,0.8079999999999999,0.6890000000000001,0.0857,-4.29,0.143,127.989,0.0
Louis Armstrong & His Ensemble,0.961,0.989,0.6940000000000001,185889.0,0.479,0.936,0.14,-7.6720000000000015,0.114,141.062,0.0
Los Provincianos,0.5713333333333334,0.9536666666666666,0.5996666666666667,180253.66666666666,0.3313333333333333,0.019699,0.0982,-9.706000000000001,0.0746,97.20066666666668,0.0
Louiguy,0.0379,0.904,0.245,173166.0,0.405,0.873,0.0883,-11.027,0.0445,80.57600000000002,0.0
Lou Busch & His Orchestra,0.244,0.899,0.3229999999999999,207183.0,0.466,0.887,0.945,-10.015,0.0331,61.417,0.0
Sreeradha Banerjee,0.28,0.8640000000000001,0.5589999999999999,242227.0,0.467,6.3e-05,0.128,-6.257999999999999,0.0361,126.46,0.0
Sreenanda Mukherjee,0.477,0.716,0.464,204827.0,0.45,0.0,0.143,-10.164,0.0335,90.514,0.0
Raavu Balasaraswathi,0.6664444444444445,0.9821111111111112,0.4423333333333333,179803.44444444444,0.31966666666666665,0.5414111111111111,0.1625777777777778,-12.861777777777778,0.10052222222222224,90.58066666666667,0.0
Rabbit Run,0.2635,0.0012974999999999998,0.8045,337541.5,0.659,0.8865000000000001,0.06275,-8.0325,0.06465,128.016,0.0
Rabindranath Tagore,0.4761666666666666,0.9951666666666666,0.512,178104.5,0.1512,0.20358973666666666,0.31949999999999995,-17.693,0.04958333333333333,91.95300000000002,0.0
Tristan Tzara,0.214,0.7809999999999999,0.506,118480.0,0.0971,0.0,0.128,-17.741,0.205,198.06,0.0
Tripuramba,0.6890000000000001,0.7929999999999999,0.472,198880.0,0.306,0.00662,0.0824,-14.282,0.057,91.194,0.0
Sridhar Parsekar,0.765,0.8625,0.5435,178140.0,0.391,0.3475,0.1495,-14.113,0.2355,114.6945,0.0
Louis Jouvet,0.557,0.973,0.78,78293.0,0.171,2.1600000000000007e-05,0.393,-18.577,0.795,102.001,0.0
Hillel and Aviva,0.2400625,0.9688749999999999,0.408825,180033.375,0.035955,0.11301430999999999,0.1143375,-23.3925,0.055625,94.15125,0.0
El Pili,0.645,0.9195,0.453,104533.5,0.3215,0.8965000000000001,0.2645,-12.1235,0.047150000000000004,134.71,0.0
Soup Solstice,0.384,0.916,0.475,113006.0,0.0994,0.0,0.125,-16.212,0.0423,84.02,0.0
Hopeku,0.2,0.00243,0.623,405494.0,0.969,0.753,0.14,-5.83,0.0698,144.993,0.0
Rajni,0.39,0.995,0.425,169917.0,0.206,0.3,0.122,-12.693,0.0506,86.676,0.0
Hori Baiji,0.355,0.984,0.4320000000000001,191213.0,0.195,5.43e-06,0.5670000000000001,-8.541,0.0771,169.765,0.0
Rajé Shwari,0.973,0.975,0.685,94319.0,0.373,0.38,0.223,-8.747,0.0909,124.718,0.0
Hot Contender,0.655,0.277,0.7559999999999999,202612.0,0.642,0.0,0.0762,-8.228,0.116,133.988,0.0
Soula Karagiorgi,0.5053333333333333,0.9924666666666667,0.3956666666666667,191927.13333333333,0.3950666666666667,0.20648568799999997,0.2638466666666667,-11.266,0.047606666666666665,108.45726666666665,0.0
