genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
21st century classical,97.93333333333332,16.28833333333333,160297.66666666663,7.13166666666666,60.683367,36.16,-3151.433333333334,4.0566666666666595,75.3365,10.37833333333333,27.83333333333333
432hz,49.478,29.93333333333333,1048887.333333333,45.067833333333326,47.77616666666668,13.100000000000001,-1685.3999999999999,7.68166666666666,120.28566666666666,22.175,52.5
8-bit,76.2,71.2,115177.0,81.8,87.6,12.6,-918.0,4.7,133.444,97.5,48.0
[],65.14170195595453,52.90925603549332,232880.8902503945,41.91460727353524,20.53091895111363,21.869585415040728,-1228.8964675489456,10.78715586868139,112.8573524318416,51.36042963588958,20.859882191849056
a cappella,67.6557304985755,53.89612464387464,190628.5408867521,31.643357015669523,0.30034414404202,17.22541371082621,-1247.9387421652425,8.285143981481479,112.1103620014245,44.82486545584045,45.82007122507122
abstract,45.921,51.61666666666667,343196.5,44.24166666666666,84.96666666666667,11.80666666666667,-1547.2083333333333,4.65166666666666,127.88575000000002,30.7325,43.5
abstract beats,34.21466666666667,62.3,229936.2,52.779999999999994,33.36026120000001,9.96533333333333,-791.8000000000001,11.63733333333333,112.4138,49.35066666666666,58.93333333333332
abstract hip hop,24.38540633608816,69.45709366391183,231849.2341597796,64.62346418732783,2.42312629201102,16.85429201101929,-734.9327823691461,21.425769972451782,108.2449865013774,57.1390909090909,39.79070247933884
accordeon,32.29999999999999,58.8,164000.0,39.2,44.1,7.9399999999999995,-1489.8999999999999,7.2700000000000005,109.131,70.9,39.0
accordion,44.6125,62.48125,167061.5625,37.34375,19.373839375,16.03,-1448.70625,7.85375,112.8724375,65.86875,21.9375
acid house,6.79505384615384,67.74,297188.05384615384,72.4403076923077,38.58910307692308,23.34884615384616,-938.1199999999998,5.58553846153846,126.49209230769232,56.76769230769231,46.63846153846154
acid rock,25.69145079725167,44.72389930828895,259203.9143310266,58.064929480187935,15.09256773784014,23.045146283105762,-1143.3073309388822,6.759985278233479,125.65952227133604,53.444747774547984,32.67595532906288
acid trance,0.683,66.3,221160.0,92.5,70.3,18.5,-677.5,4.49,132.687,84.3,62.0
acousmatic,91.70191062801932,42.04582850241546,185040.2595531401,23.85243417874396,61.62484134359904,26.10061823671498,-2096.456474637681,8.06177391304347,104.07463265700486,32.44473852657005,9.342524154589372
acoustic blues,76.17235394558371,60.691477202326446,204321.25087923245,36.06592945953496,9.891813613614229,18.30982135528711,-1255.490505937252,6.88153642290222,113.28452122830322,63.3785722320662,23.74606007693052
acoustic pop,49.02350260381985,53.510831715215325,235379.78355519092,47.64399220103099,3.3338280109024696,15.775049872839531,-929.7247893173369,4.17706648143185,117.88741975150836,37.94153530026807,53.11550474564842
acoustic punk,40.490002203856754,53.91115702479339,192332.11845730024,61.58241505968779,6.19399513039485,20.94806244260789,-801.0774104683195,6.3570523415977895,122.30848852157943,73.05188246097337,40.37649219467401
acoustic rock,61.32007936507936,52.43968253968254,195036.0,41.60026455026456,32.14749217460317,14.05183862433862,-1054.062037037037,3.4681084656084598,122.6556626984127,38.02986772486773,51.10978835978836
action rock,22.900000000000002,41.199999999999996,198400.0,93.8,0.0259,10.6,-25.3,18.2,97.489,32.0,47.0
adoracion,43.28571428571428,50.47142857142857,302906.0714285714,52.074999999999996,0.0,31.59857142857142,-801.0071428571429,3.82035714285714,130.7106785714286,31.15714285714285,46.39285714285714
adult standards,65.56483763400995,49.63276348996665,197331.50159436092,38.20535821129445,11.81935743093194,19.67767436932642,-1222.1776284593986,5.31578180376793,113.38117658884272,49.93761805789757,31.63490210889541
adventista,78.41433333333333,53.15,202876.65,31.93833333333333,0.0007450333333333336,14.129,-933.8766666666668,2.89866666666666,113.38845,51.45166666666666,27.266666666666666
afghan pop,41.06285714285714,65.17142857142858,326503.9285714286,65.15714285714286,0.09111632142857,8.74607142857143,-915.2178571428572,8.44142857142857,113.59471428571428,78.41071428571428,39.32142857142857
afghan traditional,95.8,44.03333333333333,278581.33333333326,32.36666666666666,40.07066666666666,17.766666666666662,-1449.7666666666669,14.60333333333333,94.06966666666666,71.06666666666666,6.333333333333332
african percussion,32.7,60.036363636363646,289556.2727272727,78.97272727272727,25.73806909090909,12.78727272727272,-672.9636363636363,7.97090909090909,130.1315454545454,44.57272727272727,15.454545454545457
african reggae,24.58,75.3,267673.375,66.21249999999999,0.35346243749999,11.1225,-744.6874999999999,5.889375,116.5645,77.1,45.8125
african rock,13.985650416666658,66.88958333333335,236075.3125,61.10625,9.379615,14.969375,-936.1750000000001,7.265416666666661,115.7093125,60.64583333333333,42.270833333333336
african-american classical,92.55341402855372,28.397566728739896,218619.10024829305,14.21949224084419,43.20272616821849,14.33540657976412,-2461.947206703911,5.88104748603351,132.72893202979515,26.446441651148362,30.64944134078212
afro dancehall,14.390024821969691,64.34583333333333,199565.2285353536,76.46818181818182,0.72262542929292,16.87770202020202,-569.8983585858585,16.01521464646464,131.96408964646463,61.93598484848485,44.135101010101
afro house,32.16666666666666,63.6,236572.33333333328,57.06666666666668,13.35673333333333,12.58333333333333,-1010.3833333333332,12.70333333333333,139.69799999999998,62.050000000000004,48.33333333333334
afro psych,22.80666666666667,62.43333333333334,331866.66666666674,72.2,14.49692433333333,23.333333333333332,-1092.6333333333332,5.4533333333333305,111.682,83.03333333333333,36.0
afro soul,0.627,76.6,202627.0,87.3,0.0,7.64,-638.1,14.299999999999999,126.988,74.3,77.0
afro-funk,13.75592592592593,80.31481481481481,286121.48148148146,72.42962962962963,7.984042222222219,9.37037037037037,-890.9833333333333,9.59462962962963,114.17362962962964,87.96296296296296,28.33333333333333
afrobeat,36.08718067607344,63.29610303477765,320584.21705094987,61.90763879414472,31.40237645946228,15.20585542783834,-993.1080518421174,6.03776928584909,117.10862177680056,71.08201724643641,39.99435661557381
afrofuturism,24.816345931464788,63.35189768676742,288939.43166504195,58.1705356229114,12.79611452847072,19.75452786949099,-907.9584287901105,14.1947563687649,110.50069322962165,45.88383044797964,45.43323475601021
afrofuturismo brasileiro,62.6,48.4,247120.0,81.0,0.0283,11.0,-457.9,3.7699999999999996,144.454,42.199999999999996,37.0
afropop,43.6659746365678,62.580321348391166,309968.9752713153,53.45246397821523,15.13956875250823,15.98840348384809,-1109.1498759690776,7.7084721017059,116.54245898097491,64.84711262788878,41.38034148461422
afroswing,31.845000000000002,71.175,179995.375,58.01875,0.0257895,18.995,-701.6687499999999,19.55625,83.250125,67.66250000000001,77.3125
aggrotech,1.186776,60.13333333333334,236315.0,71.23333333333333,25.19999999999999,25.96666666666666,-640.8000000000002,3.4233333333333302,116.72133333333332,44.33333333333333,55.66666666666666
alabama indie,32.32776022727273,55.7375,242200.63636363635,62.61477272727273,5.743237386363631,11.92795454545454,-876.3204545454546,4.87181818181818,120.2792840909091,52.467045454545456,47.63636363636364
alabama metal,0.2748,40.65,199820.0,86.6,0.0001105,14.06,-366.59999999999997,7.41,110.375,44.6,49.5
alabama rap,14.07727340641437,68.61151282409347,224676.31951077597,61.18896802122609,0.047073708900060005,16.230897034864768,-667.8095261369454,16.944651957361632,114.11048540706604,46.943542801284735,53.22484522645813
alaska indie,13.386666666666661,73.96666666666668,186644.3333333333,46.46666666666666,0.00775,8.32,-933.6999999999999,4.72333333333333,134.41466666666668,73.93333333333332,56.33333333333334
albanian pop,0.28700000000000003,68.3,187106.0,66.5,0.0,8.39,-840.4999999999999,4.99,127.968,66.7,42.0
albany ny indie,0.05639999999999,85.2,215427.0,25.1,75.6,9.569999999999999,-1322.5,6.83,141.759,18.6,0.0
alberta country,20.77672619047618,59.39916666666667,206540.95,73.49738095238095,0.0019585285714285717,22.58033333333333,-657.5176190476191,5.57580952380952,113.51413095238097,59.68142857142856,51.49047619047619
alberta hip hop,33.0,88.5,144000.0,68.5,0.0,14.799999999999999,-642.9,6.2700000000000005,99.954,93.7,78.5
album rock,18.61824547987221,51.203061023455696,268948.224959657,66.04173890677083,7.37218923351972,21.488953424231998,-988.5866901716897,5.6725599017659,124.21652716618,55.18872818188616,38.26057678819572
albuquerque indie,35.02145925925926,56.21018518518519,227711.3518518519,58.745370370370374,1.6405614814814802,18.03731481481481,-842.5898148148146,3.34611111111111,126.22573148148147,59.21296296296297,51.11111111111112
alt-idol,0.0304725,46.625,240353.75,96.62500000000001,22.580875,35.089999999999996,-262.32500000000005,16.655,131.12875,38.475,60.25
alte,6.92,79.7,188889.0,56.7,0.0,7.049999999999999,-750.3,6.510000000000001,108.024,84.3,66.0
