year,category,artist,workers,nominee,winner
2025,Best Boxed Or Special Limited Edition Package,"['Mike Hicks', 'Nick Azinas']",,Half Living Things,False
2025,Best Instrumental Composition,,Strands,Strands,True
2025,Best Opera Recording,"['Julia Bullock', 'Ryan McKinny', 'conductor; Paul Appleby', 'Hye Jung Lee', 'Davóne Tines; Dmitriy Lipay', 'Elliot Madore', 'Daniela Mack', 'John Adams']",,Adams: Girls Of The Golden West,False
2025,Best Classical Instrumental Solo,['Andy Akiho'],,Akiho: Longing,False
2025,Best Classical Solo Vocal Album,,Beyond The Years - Unpublished Songs Of Florence Price,Beyond The Years - Unpublished Songs Of Florence Price,True
2025,Best Choral Performance,"['Elaine Kelly', 'chorus masters', 'Stephen Sands', 'conductor; Melissa Attebury', 'Benedict Sheehan']",,Sheehan: Akathist,False
2025,Best Contemporary Classical Composition,['Andrea Casarrubios'],,Casarrubios: Seven For Solo Cello,False
2025,Best Classical Solo Vocal Album,"['Joyce DiDonato', 'soloist; Maxim Emelyanychev']",,Wagner: Wesendonck Lieder,False
2025,Best Choral Performance,['Jeannette Sorrell'],,Handel: Israel In Egypt,False
2025,Best Choral Performance,['Eric Holtan'],,A Dream So Bright - Choral Music Of Jake Runestad,False
2025,Best Choral Performance,['Matthew Guard'],,Clear Voices In The Dark,False
2025,"Best Engineered Album, Non-Classical","['John Kercy', 'Stefan Johnson', 'Todd Robinson', 'engineers; Colin Leonard', 'Dernst Emile II', 'Jordan Johnson', 'Charles Moniz', 'Michael B. Hunter', 'Rachel Keen']",,Algorithm,False
2025,"Best Engineered Album, Non-Classical","['Jack Emblem', 'engineers; Chris Gehringer', 'Charlotte Day Wilson', 'Jack Rochon']",,Cyan Blue,False
2025,"Best Arrangement, Instruments and Vocals","['Zach Tenorio', 'Chris Greatti', 'Willow']",,b i g f e e l i n g s,False
2025,"Best Arrangement, Instruments and Vocals","['Charlie Rosen', 'Jake Silverman']",,Last Surprise (From Persona 5),False
2025,"Best Arrangement, Instruments and Vocals",['Cody Fry'],,The Sound Of Silence,False
2025,"Best Arrangement, Instruments and Vocals",,Alma,Alma,True
2025,Best Historical Album,"['Jr.', 'mastering engineers; Chris James', 'Duane Tudahl', 'L. Londell McMillan', 'Charles F. Spicer', 'Bernie Grundman', 'restoration engineer', 'compilation producers; Brad Blackwood']",,Diamonds And Pearls: Super Deluxe Edition,False
2025,Best Historical Album,"['Andreas K. Meyer', 'Tom Laskey', 'Shana L. Redmond', 'compilation producers; Nancy Conforti', 'Susan Robeson', 'Robert Russ']",,"Paul Robeson – Voice of Freedom: His Complete Columbia, RCA, HMV, and Victor Recordings",False
2025,Best Historical Album,"['Jesús Bola', 'Pepe De Lucía', 'Javier Doria', 'compilation producers; Jesús Bola', 'restoration engineer']",,Pepito Y Paquito,False
