year,category,nominee,workers,artists,valence,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,popularity,speechiness,tempo
2020,Song Of The Year,Someone You Loved,"Tom Barnes, Lewis Capaldi, Pete Kelleher, Benjamin Kohn & Sam Roman, songwriters (Lewis Capaldi)",['Lewis Capaldi'],0.447,0.7509999999999999,0.501,182173,0.405,0.0,0.105,-5.678999999999999,0,0.032,109.889
2020,Song Of The Year,Someone You Loved,"Tom Barnes, Lewis Capaldi, Pete Kelleher, Benjamin Kohn & Sam Roman, songwriters (Lewis Capaldi)",['Lewis Capaldi'],0.447,0.7509999999999999,0.501,182173,0.405,0.0,0.105,-5.678999999999999,4,0.032,109.889
2020,Best Pop Duo/Group Performance,Boyfriend,,['Selena Gomez'],0.346,0.218,0.8109999999999999,161188,0.512,0.0262,0.0768,-6.381,73,0.17,92.046
2020,Best Pop Duo/Group Performance,Señorita,,"['Shawn Mendes', 'Camila Cabello']",0.75,0.037,0.759,190960,0.54,0.0,0.0945,-6.039,5,0.0287,116.947
2020,Best Music Film,Homecoming,"Beyoncé Knowles-Carter & Ed Burke, video directors; Steve Pamon & Erinn Williams, video producers",['Lil Uzi Vert'],0.353,0.000592,0.929,213885,0.563,0.0,0.244,-7.428,66,0.49,129.957
2019,Best Pop Duo/Group Performance,Shallow,,"['Danielle Bradbery', 'Parker McCollum']",0.326,0.232,0.561,207747,0.6729999999999999,0.0,0.0829,-4.186,58,0.0278,95.989
2019,Best Song Written For Visual Media,Shallow,"Lady Gaga, Mark Ronson, Anthony Rossomando & Andrew Wyatt, songwriters (Lady Gaga & Bradley Cooper)","['Danielle Bradbery', 'Parker McCollum']",0.326,0.232,0.561,207747,0.6729999999999999,0.0,0.0829,-4.186,58,0.0278,95.989
2019,Best Alternative Music Album,Colors,"Beck & Greg Kurstin, producers; Julian Burg, Serban Ghenea, David Greenbaum, John Hanes, Greg Kurstin, Florian Lagatta, Cole M.G.N., Alex Pasco, Jesse Shatkin, Darrel Thorp & Cassidy Turbin, engineers/mixers",['Black Pumas'],0.56,0.0946,0.391,246587,0.6920000000000001,1.58e-05,0.191,-6.5429999999999975,58,0.0462,180.00799999999995
2019,"Best Engineered Album, Non-Classical",Colors,"Julian Burg, Serban Ghenea, David “Elevator” Greenbaum, John Hanes, Beck Hansen, Greg Kurstin, Florian Lagatta, Cole M.G.N., Alex Pasco, Jesse Shatkin, Darrell Thorp & Cassidy Turbin, engineers; Chris Bellman, Tom Coyne, Emily Lazar & Randy Merrill, mastering engineers (Beck)",['Black Pumas'],0.56,0.0946,0.391,246587,0.6920000000000001,1.58e-05,0.191,-6.5429999999999975,58,0.0462,180.00799999999995
2019,Best Country Duo/Group Performance,Tequila,,"['Juanes', 'Christian Nodal']",0.7040000000000001,0.226,0.757,159547,0.688,0.0,0.237,-4.546,71,0.112,155.994
2018,Best Traditional R&B Performance,Redbone,,['Dontcry'],0.7070000000000001,0.7959999999999999,0.721,102176,0.163,0.623,0.105,-16.899,62,0.0999,85.05799999999998
2017,Best Urban Contemporary Album,Lemonade,"Beyoncé, producer; Stuart White, engineer/mixer",['Tay-K'],0.228,0.104,0.7440000000000001,132000,0.385,2.43e-05,0.124,-8.129,63,0.602,160.033
2017,Best Country Solo Performance,My Church,,['Maren Morris'],0.664,0.243,0.517,197931,0.743,3.36e-06,0.107,-4.336,68,0.0363,76.979
2016,Best Children's Album,Home,"Dominic Fallacaro, producer",['Chris Tomlin'],0.461,0.0363,0.468,219720,0.7859999999999999,0.0,0.31,-2.757,54,0.0334,84.992
2016,Best Music Video,Bad Blood,"Joseph Kahn, video director; Ron Mohrhoff, video producer",['Nao'],0.378,0.639,0.494,240627,0.412,4.46e-06,0.0631,-5.687,58,0.133,113.108
2015,Best Urban Contemporary Album,Girl,"Pharrell Williams, producer; Andrew Coleman, Mick Guzauski & Mike Larson, engineers/mixers",['Jukebox The Ghost'],0.841,0.479,0.605,213787,0.615,0.0,0.1369999999999999,-5.617000000000001,57,0.0474,172.21099999999996
