category,nominee,artist,workers,name,year,valence,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,popularity,speechiness,tempo,decade,duration_s
Best Music Video,Shot In The Dark,['AC/DC'],"David Mallet, video director; Dione Orrom, video producer",Shot In The Dark,2020,82.2,0.00207,59.9,185133,78.7,0.00527,6.4,-470.8,75,3.38,114.065,2020,185.133
Best Music Video,Shot In The Dark,['AC/DC'],"David Mallet, video director; Dione Orrom, video producer",Shot In The Dark,2020,82.2,0.00207,59.9,185133,78.7,0.00527,6.4,-470.8,71,3.38,114.065,2020,185.133
Best Rock Performance,Shot In The Dark,['AC/DC'],,Shot In The Dark,2020,82.2,0.00207,59.9,185133,78.7,0.00527,6.4,-470.8,75,3.38,114.065,2020,185.133
Best Rock Performance,Shot In The Dark,['AC/DC'],,Shot In The Dark,2020,82.2,0.00207,59.9,185133,78.7,0.00527,6.4,-470.8,71,3.38,114.065,2020,185.133
Best Country Solo Performance,You Should Probably Leave,['Chris Stapleton'],,You Should Probably Leave,2020,55.2,26.8,60.2,213493,47.7,0.0031,17.299999999999997,-842.5000000000001,73,3.2,183.89,2020,213.493
Best Country Solo Performance,Forever After All,['Luke Combs'],,Forever After All,2020,45.6,19.1,48.7,232533,65.0,0.0,9.33,-519.5,86,2.53,151.964,2020,232.533
Best R&B Performance,Damage,['H.E.R.'],,Damage,2020,18.0,11.3,64.6,223415,69.6,0.0,11.5,-650.5,75,6.5,81.336,2020,223.415
Best Pop Solo Performance,Positions,['Ariana Grande'],,positions,2020,68.2,46.8,73.7,172325,80.2,0.0,9.31,-477.1,96,8.780000000000001,144.015,2020,172.325
Best Pop Solo Performance,Positions,['Ariana Grande'],,positions,2020,61.7,46.8,73.5,172325,80.5,0.0,9.4,-482.10000000000014,72,8.88,144.02,2020,172.325
Best Pop Solo Performance,Yummy,['Justin Bieber'],,Yummy,2020,49.70000000000001,34.5,67.7,208520,50.6,0.0,11.8,-665.2,6,9.64,145.843,2020,208.52
Best Pop Solo Performance,Yummy,['Justin Bieber'],,Yummy,2020,49.4,36.6,68.7,210427,51.4,0.0,11.6,-661.2,79,8.97,145.921,2020,210.427
